RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
1,Shots Fired/Illegal Hunting,202300011103,500,CHERRY AVE,CPD,2023/04/05 01:37:48+00,2137,"Darby, Michael"
2,Assault Simple,202300011101,800,MOORE AVE,CPD,2023/04/05 00:50:09+00,2050,"Lowry, Ryan"
3,Hit and Run,202300011068,,UNIVERSITY AVE / RUGBY RD,CPD,2023/04/04 20:03:45+00,1603,"Lowe, Courteny"
4,Misc - Criminal Call,202300011066,1100,5TH ST SW,CPD,2023/04/04 19:47:21+00,1547,"Whitten, Tobyn"
5,Hit and Run,202300011063,500,9TH ST SW,CPD,2023/04/04 19:26:39+00,1526,"Burchardt, Rudy"
6,Assault Aggravated,202300011006,100,1ST ST S,CPD,2023/04/04 14:08:04+00,1008,"Lucas, Todd"
7,Driving Under the Influence,202300010981,500,BENNETT ST,CPD,2023/04/04 05:39:11+00,0139,"O'Briant, Landon"
8,Domestic Disturbance,202300010976,800,FOREST ST,CPD,2023/04/04 04:21:14+00,0021,"Curry, Brian"
9,Harassment,202380000258,100,"CAMELLIA DR, B",CPD,2023/04/03 22:34:21+00,1834,"Moje, Ashley"
10,Fraud-impersonation,202300010930,200,RIDGE ST,CPD,2023/04/03 19:54:41+00,1554,"Turner, Devon"
11,Harassment,202380000257,1200,W MAIN ST,CPD,2023/04/03 16:20:00+00,1220,"Pendleton, Eric"
12,Fraud-false pretense,202300010900,900,ROCKLAND AVE,CPD,2023/04/03 14:20:43+00,1020,"Eckenroth, Rachel"
13,Larceny - Shoplifitng,202300010895,1100,5TH ST SW,CPD,2023/04/03 13:10:22+00,0910,"Turner, Devon"
14,Assault Simple,202300010889,100,OLD PRESTON AVE,CPD,2023/04/03 11:00:02+00,0700,"O'Briant, Landon"
15,Assist Citizen - Mental/TDO/ECO,202300010868,600,E MARKET ST,CPD,2023/04/03 04:31:25+00,0031,"O'Briant, Landon"
16,Domestic Disturbance,202300010849,600,12TH ST NW,CPD,2023/04/03 00:23:16+00,2023,"Venereo, Arturo"
17,Warrant Service,202300010837,900,HENRY AVE,CPD,2023/04/02 22:44:02+00,1844,"Mullins, James"
18,Hit and Run,202300010827,1700,HYDRAULIC RD,CPD,2023/04/02 21:09:10+00,1709,"Mullins, James"
19,Vandalism,202300010806,2200,GREENBRIER DR,CPD,2023/04/02 17:03:03+00,1303,"Hopiane, Sayd"
20,Fraud-false pretense,202300010804,1700,MONTICELLO RD,CPD,2023/04/02 16:39:15+00,1239,"Eckenroth, Rachel"
21,Suspicious Activity,202300010793,1600,CHERRY AVE,CPD,2023/04/02 13:49:53+00,0949,"Jones, Mark"
22,Assist Citizen - Mental/TDO/ECO,202300010773,300,EASTBROOK DR,CPD,2023/04/02 07:22:49+00,0322,"Samar, Jack"
23,Assist Citizen - Mental/TDO/ECO,202300010761,500,"HARRIS RD, 157",CPD,2023/04/02 05:00:04+00,0100,"O'Briant, Landon"
24,Assist Citizen - Mental/TDO/ECO,202300010760,1700,JEFFERSON PARK AVE,CPD,2023/04/02 04:59:41+00,0059,"Aguilera, Natalia"
25,Assist Agency - Other,202300010758,800,"HARDY DR, C",CPD,2023/04/02 04:50:06+00,0050,"Samar, Jack"
26,Assault Simple,202300010748,400,RUGBY RD,CPD,2023/04/02 04:04:18+00,0004,"Aguilera, Natalia"
27,Larceny - Theft from Building,202380000256,1900,EMMET ST N,CPD,2023/04/01 21:37:11+00,1737,"Pendleton, Eric"
28,Larceny - Theft from Building,202380000255,1900,EMMET ST N,CPD,2023/04/01 21:28:42+00,1728,"Pendleton, Eric"
29,Assist Citizen - Misc,202300010679,1000,FOREST HILLS AVE,CPD,2023/04/01 20:57:05+00,1657,"Green, Bryan"
30,Missing Person-juvenile,202300010680,1600,"6TH ST SE, 42",CPD,2023/04/01 20:51:53+00,1651,"Whitten, Tobyn"
