"","Offense","Date","Year","Month","Hour","Weekday","NumCrimes","GroupA","GroupB","Assault","Suspicious_Persons_Activity","ShotsFired_IllegalHunting"
"1","Accident - w/out Injuries","2022-12-31","2022","December","22","Mon",12,0,1,0,0,0
"2","Death Investigation - DOA","2022-12-31","2022","December","21","Mon",12,0,1,0,0,0
"3","Larceny - All Other","2022-12-31","2022","December","20","Mon",12,0,1,0,0,0
"4","Hit and Run","2022-12-31","2022","December","20","Mon",12,0,1,0,0,0
"5","Burglary","2022-12-31","2022","December","19","Mon",12,0,1,0,0,0
"6","Assault Simple","2022-12-31","2022","December","19","Mon",12,0,1,0,0,0
"7","Larceny - Theft from Building","2022-12-31","2022","December","19","Mon",12,0,1,0,0,0
"8","Hit and Run","2022-12-31","2022","December","18","Mon",12,0,1,0,0,0
"9","Death Investigation - DOA","2022-12-31","2022","December","17","Mon",12,0,1,0,0,0
"10","Traffic Stops","2022-12-31","2022","December","07","Mon",12,0,1,0,0,0
"11","Hit and Run","2022-12-31","2022","December","04","Mon",12,0,1,0,0,0
"12","Burglary","2022-12-31","2022","December","04","Mon",12,0,1,0,0,0
"13","Larceny - Shoplifitng","2022-12-30","2022","December","23","Sun",17,0,1,0,0,0
"14","Drug Investigation","2022-12-30","2022","December","21","Sun",17,0,1,0,0,0
"15","Disorderly Conduct","2022-12-30","2022","December","21","Sun",17,0,1,0,0,0
"16","Hit and Run","2022-12-30","2022","December","21","Sun",17,0,1,0,0,0
"17","Larceny - Theft from Building","2022-12-30","2022","December","21","Sun",17,0,1,0,0,0
"18","Vandalism","2022-12-30","2022","December","21","Sun",17,0,1,0,0,0
"19","Hit and Run","2022-12-30","2022","December","20","Sun",17,0,1,0,0,0
"20","Accident Private Property","2022-12-30","2022","December","18","Sun",17,0,1,0,0,0
"21","Death Investigation - DOA","2022-12-30","2022","December","18","Sun",17,0,1,0,0,0
"22","Hit and Run","2022-12-30","2022","December","14","Sun",17,0,1,0,0,0
"23","Hit and Run","2022-12-30","2022","December","11","Sun",17,0,1,0,0,0
"24","Suspicious Activity","2022-12-30","2022","December","06","Sun",17,0,1,0,0,0
"25","Larceny - Shoplifitng","2022-12-30","2022","December","05","Sun",17,0,1,0,0,0
"26","Larceny - Theft from Building","2022-12-30","2022","December","01","Sun",17,0,1,0,0,0
"27","Larceny - All Other","2022-12-30","2022","December","01","Sun",17,0,1,0,0,0
"28","Assist Citizen - Mental/TDO/ECO","2022-12-30","2022","December","01","Sun",17,0,1,0,0,0
"29","Assist Citizen - Mental/TDO/ECO","2022-12-30","2022","December","00","Sun",17,0,1,0,0,0
"30","Larceny - Theft from Building","2022-12-29","2022","December","22","Sat",16,0,1,0,0,0
"31","Hit and Run","2022-12-29","2022","December","21","Sat",16,0,1,0,0,0
"32","Drunkeness DIP","2022-12-29","2022","December","20","Sat",16,0,1,0,0,0
"33","Vandalism","2022-12-29","2022","December","19","Sat",16,0,1,0,0,0
"34","Misc - Non-Criminal Call","2022-12-29","2022","December","18","Sat",16,0,1,0,0,0
"35","Disorderly Conduct","2022-12-29","2022","December","18","Sat",16,0,1,0,0,0
"36","Larceny - Theft from Building","2022-12-29","2022","December","17","Sat",16,0,1,0,0,0
"37","Assault Simple","2022-12-29","2022","December","15","Sat",16,0,1,0,0,0
"38","Assist Citizen - Mental/TDO/ECO","2022-12-29","2022","December","15","Sat",16,0,1,0,0,0
"39","Larceny - Theft from Building","2022-12-29","2022","December","15","Sat",16,0,1,0,0,0
"40","Harassment","2022-12-29","2022","December","14","Sat",16,0,1,0,0,0
"41","Suspicious Activity","2022-12-29","2022","December","13","Sat",16,0,1,0,0,0
"42","Larceny - All Other","2022-12-29","2022","December","06","Sat",16,0,1,0,0,0
"43","Lost/FoundProperty","2022-12-29","2022","December","05","Sat",16,0,1,0,0,0
"44","Assault Intimidation","2022-12-29","2022","December","04","Sat",16,0,1,0,0,0
"45","Driving Under the Influence","2022-12-29","2022","December","03","Sat",16,0,1,0,0,0
"46","Larceny - Theft from Building","2022-12-28","2022","December","23","Fri",26,0,1,0,0,0
"47","Larceny - Theft from Building","2022-12-28","2022","December","23","Fri",26,0,1,0,0,0
"48","Larceny - From Motor Vehicle","2022-12-28","2022","December","22","Fri",26,0,1,0,0,0
"49","Vandalism","2022-12-28","2022","December","21","Fri",26,0,1,0,0,0
"50","Disorderly Conduct","2022-12-28","2022","December","20","Fri",26,0,1,0,0,0
"51","Larceny - Theft from Building","2022-12-28","2022","December","20","Fri",26,0,1,0,0,0
"52","Suspicious Activity","2022-12-28","2022","December","20","Fri",26,0,1,0,0,0
"53","Fraud-false pretense","2022-12-28","2022","December","19","Fri",26,0,1,0,0,0
"54","Assist Agency - Other","2022-12-28","2022","December","18","Fri",26,0,1,0,0,0
"55","Larceny - All Other","2022-12-28","2022","December","18","Fri",26,0,1,0,0,0
"56","Larceny - All Other","2022-12-28","2022","December","16","Fri",26,0,1,0,0,0
"57","Assault Simple","2022-12-28","2022","December","15","Fri",26,0,1,0,0,0
"58","Domestic Disturbance","2022-12-28","2022","December","15","Fri",26,0,1,0,0,0
"59","Motor Vehicle Theft","2022-12-28","2022","December","14","Fri",26,0,1,0,0,0
"60","Assist Citizen - Mental/TDO/ECO","2022-12-28","2022","December","14","Fri",26,0,1,0,0,0
"61","Death Investigation - DOA","2022-12-28","2022","December","14","Fri",26,0,1,0,0,0
"62","Driving Under the Influence","2022-12-28","2022","December","14","Fri",26,0,1,0,0,0
"63","Larceny - Theft from Building","2022-12-28","2022","December","14","Fri",26,0,1,0,0,0
"64","Lost/FoundProperty","2022-12-28","2022","December","14","Fri",26,0,1,0,0,0
"65","Larceny - Of Veh Parts/Access","2022-12-28","2022","December","12","Fri",26,0,1,0,0,0
"66","Lost/FoundProperty","2022-12-28","2022","December","12","Fri",26,0,1,0,0,0
